Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
SU,491,3203.68,6.52,ALTRO,EXTREME,High seasonal risk in Summer.
SERRAMANNA,226,806.64,3.57,0,EXTREME,High seasonal risk in Summer.
VILLASOR,190,709.67,3.74,ALTRO,EXTREME,High seasonal risk in Summer.
SANLURI,179,567.50,3.17,ALTRO,EXTREME,High seasonal risk in Summer.
SAMASSI,136,335.74,2.47,ALTRO,EXTREME,High seasonal risk in Summer.
SERRENTI,127,391.72,3.08,ALTRO,EXTREME,High seasonal risk in Summer.
SS,127,3078.49,24.24,ALTRO,EXTREME,High seasonal risk in Summer. Propensity for large-scale events detected.
NU,115,947.43,8.24,ALTRO,EXTREME,High seasonal risk in Summer.
CA,108,262.84,2.43,ALTRO,EXTREME,High seasonal risk in Summer.
VILLACIDRO,97,177.10,1.83,ALTRO,EXTREME,High seasonal risk in Summer.
CAPOTERRA,97,287.52,2.96,ALTRO,EXTREME,High seasonal risk in Summer.
ASSEMINI,96,148.61,1.55,0,EXTREME,High seasonal risk in Summer.
SASSARI,95,339.92,3.58,ALTRO,EXTREME,High seasonal risk in Summer.
SAN GAVINO MONREALE,92,753.49,8.19,ALTRO,EXTREME,High seasonal risk in Summer.
OR,91,492.64,5.41,ALTRO,EXTREME,High seasonal risk in Summer.
DOLIANOVA,88,191.19,2.17,ALTRO,EXTREME,High seasonal risk in Summer.
UTA,86,386.42,4.49,ALTRO,EXTREME,High seasonal risk in Summer.
SINNAI,75,384.09,5.12,ALTRO,EXTREME,High seasonal risk in Summer.
NURAMINIS,75,396.56,5.29,0,EXTREME,High seasonal risk in Summer.
SENORBI',73,229.37,3.14,ALTRO,EXTREME,High seasonal risk in Summer.
SERDIANA,72,169.13,2.35,ALTRO,EXTREME,High seasonal risk in Summer.
DECIMOPUTZU,63,122.15,1.94,0,EXTREME,High seasonal risk in Summer.
SESTU,61,163.35,2.68,ALTRO,EXTREME,High seasonal risk in Summer.
SARDARA,59,117.17,1.99,ALTRO,EXTREME,High seasonal risk in Summer.
VILLAMAR,57,494.90,8.68,ALTRO,EXTREME,High seasonal risk in Summer.
CARBONIA,54,89.70,1.66,0,EXTREME,High seasonal risk in Summer.
NURRI,53,147.56,2.78,0,EXTREME,High seasonal risk in Summer.
QUARTU SANT'ELENA,52,147.95,2.85,ALTRO,EXTREME,High seasonal risk in Summer.
OLBIA,48,93.49,1.95,0,HIGH,High seasonal risk in Summer.
VILLANOVAFRANCA,46,367.67,7.99,ALTRO,HIGH,High seasonal risk in Summer.
BARUMINI,45,246.16,5.47,0,HIGH,High seasonal risk in Summer.
GUAMAGGIORE,43,251.43,5.85,0,HIGH,High seasonal risk in Summer.
SELEGAS,43,221.69,5.16,ALTRO,HIGH,High seasonal risk in Summer.
SILANUS,43,108.06,2.51,0,HIGH,High seasonal risk in Summer.
MONASTIR,42,531.02,12.64,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
VILLASPECIOSA,41,211.63,5.16,0,HIGH,High seasonal risk in Summer.
CAGLIARI,41,145.71,3.55,ALTRO,HIGH,High seasonal risk in Summer.
GERGEI,40,104.80,2.62,0,HIGH,High seasonal risk in Summer.
SILIQUA,39,336.20,8.62,ALTRO,HIGH,High seasonal risk in Summer.
SORSO,38,61.82,1.63,ALTRO,HIGH,High seasonal risk in Summer.
BOTTIDDA,37,74.86,2.02,0,HIGH,High seasonal risk in Summer.
DECIMOMANNU,36,134.74,3.74,ALTRO,HIGH,High seasonal risk in Summer.
SUELLI,36,250.12,6.95,ALTRO,HIGH,High seasonal risk in Summer.
FURTEI,35,79.31,2.27,ALTRO,HIGH,High seasonal risk in Summer.
MARACALAGONIS,34,58.88,1.73,ALTRO,HIGH,High seasonal risk in Summer.
MANDAS,33,253.30,7.68,0,HIGH,High seasonal risk in Summer.
PABILLONIS,32,247.42,7.73,ALTRO,HIGH,High seasonal risk in Summer.
NUORO,32,35.69,1.12,0,HIGH,High seasonal risk in Summer.
QUARTUCCIU,31,67.22,2.17,ALTRO,HIGH,High seasonal risk in Summer.
GUASILA,30,167.87,5.60,0,HIGH,High seasonal risk in Summer.
SIURGUS DONIGALA,29,77.17,2.66,ALTRO,HIGH,High seasonal risk in Summer.
BOLOTANA,29,68.44,2.36,0,HIGH,High seasonal risk in Summer.
GUSPINI,28,270.06,9.65,0,HIGH,High seasonal risk in Summer.
SAN SPERATE,28,99.81,3.56,0,HIGH,High seasonal risk in Summer.
IGLESIAS,27,274.39,10.16,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
TORPE',26,284.34,10.94,BOSCO,HIGH,High seasonal risk in Summer. Forest density increases crown fire risk. Propensity for large-scale events detected.
SAN GIOVANNI SUERGIU,26,477.84,18.38,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
PULA,25,43.82,1.75,ALTRO,HIGH,High seasonal risk in Summer.
SINDIA,25,89.07,3.56,0,HIGH,High seasonal risk in Summer.
USSANA,24,143.52,5.98,ALTRO,HIGH,High seasonal risk in Summer.
SETTIMO SAN PIETRO,24,53.76,2.24,ALTRO,HIGH,High seasonal risk in Summer.
SANTA GIUSTA,24,139.19,5.80,ALTRO,HIGH,High seasonal risk in Summer.
BONO,24,98.10,4.09,ALTRO,HIGH,High seasonal risk in Summer.
ORISTANO,23,89.85,3.91,0,HIGH,High seasonal risk in Summer.
ITTIRI,23,76.14,3.31,0,HIGH,High seasonal risk in Summer.
ALGHERO,23,26.80,1.17,ALTRO,HIGH,High seasonal risk in Summer.
TERRALBA,22,75.59,3.44,ALTRO,HIGH,High seasonal risk in Summer.
MACOMER,22,485.90,22.09,"BOSCO, ALTRO",HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
LOIRI PORTO SAN PAOLO,22,17.89,0.81,0,HIGH,High seasonal risk in Summer.
SAMATZAI,21,59.09,2.81,ALTRO,HIGH,High seasonal risk in Summer.
TORTOLI',21,569.31,27.11,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SINISCOLA,21,590.59,28.12,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
OROSEI,21,43.87,2.09,0,HIGH,High seasonal risk in Summer.
OTTANA,20,121.38,6.07,0,MEDIUM,High seasonal risk in Summer.
GONNOSFANADIGA,19,2789.28,146.80,0,EXTREME,High seasonal risk in Summer. Propensity for large-scale events detected.
SELARGIUS,19,62.04,3.27,ALTRO,MEDIUM,High seasonal risk in Summer.
ORTACESUS,18,102.56,5.70,0,MEDIUM,High seasonal risk in Summer.
SAN NICOLO' D'ARCIDANO,18,212.46,11.80,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
USINI,18,135.70,7.54,0,MEDIUM,High seasonal risk in Summer.
ISILI,17,326.40,19.20,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
BURGOS,17,32.64,1.92,PASCOLO,MEDIUM,High seasonal risk in Summer.
NARCAO,17,21.28,1.25,ALTRO,MEDIUM,High seasonal risk in Summer.
BORORE,17,87.47,5.15,ALTRO,MEDIUM,High seasonal risk in Summer.
USELLUS,17,99.73,5.87,ALTRO,MEDIUM,High seasonal risk in Summer.
OZIERI,17,12.63,0.74,0,MEDIUM,High seasonal risk in Summer.
SEGARIU,16,226.47,14.15,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SANTADI,16,51.57,3.22,ALTRO,MEDIUM,High seasonal risk in Summer.
BONORVA,16,23.48,1.47,0,MEDIUM,High seasonal risk in Summer.
ELMAS,15,20.26,1.35,0,MEDIUM,High seasonal risk in Summer.
PIMENTEL,15,70.00,4.67,ALTRO,MEDIUM,High seasonal risk in Summer.
SERRI,15,129.28,8.62,ALTRO,MEDIUM,High seasonal risk in Summer.
SANT'ANDREA FRIUS,15,19.27,1.28,0,MEDIUM,High seasonal risk in Summer.
CABRAS,15,19.26,1.28,ALTRO,MEDIUM,High seasonal risk in Summer.
SANTU LUSSURGIU,15,106.53,7.10,ALTRO,MEDIUM,High seasonal risk in Summer.
CASTELSARDO,15,17.17,1.14,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
SAN VITO,14,128.09,9.15,0,MEDIUM,High seasonal risk in Summer.
DONORI,14,21.49,1.53,0,MEDIUM,High seasonal risk in Summer.
GESICO,14,54.11,3.87,0,MEDIUM,High seasonal risk in Summer.
SOLARUSSA,14,20.78,1.48,0,MEDIUM,High seasonal risk in Summer.
PATTADA,14,25.04,1.79,0,MEDIUM,High seasonal risk in Summer.
BITTI,13,466.75,35.90,"BOSCO, ALTRO",HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
VILLAMASSARGIA,13,210.69,16.21,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
FONNI,13,67.58,5.20,"BOSCO, ALTRO",MEDIUM,High seasonal risk in Summer.
PALMAS ARBOREA,13,8.78,0.68,0,MEDIUM,High seasonal risk in Summer.
BOSA,13,125.54,9.66,0,MEDIUM,High seasonal risk in Summer.
LAS PLASSAS,12,137.11,11.43,ALTRO,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
TUILI,12,33.26,2.77,ALTRO,MEDIUM,High seasonal risk in Summer.
GESTURI,12,21.58,1.80,ALTRO,MEDIUM,High seasonal risk in Summer.
SAN BASILIO,12,92.07,7.67,0,MEDIUM,High seasonal risk in Summer.
SUNI,12,47.03,3.92,PASCOLO,MEDIUM,High seasonal risk in Summer.
ZERFALIU,12,36.55,3.05,ALTRO,MEDIUM,High seasonal risk in Summer.
SANT'ANTIOCO,12,130.67,10.89,ALTRO,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
GALTELLI',12,5.70,0.47,0,MEDIUM,High seasonal risk in Summer.
PAULILATINO,12,20.07,1.67,0,MEDIUM,High seasonal risk in Summer.
SIMAXIS,12,17.08,1.42,ALTRO,MEDIUM,High seasonal risk in Summer.
PLOAGHE,12,65.12,5.43,0,MEDIUM,High seasonal risk in Summer.
ORROLI,11,14.01,1.27,0,MEDIUM,High seasonal risk in Summer.
TEULADA,11,11.19,1.02,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
BARI SARDO,11,78.93,7.18,ALTRO,MEDIUM,High seasonal risk in Summer.
POZZOMAGGIORE,11,243.73,22.16,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SAN VERO MILIS,11,24.06,2.19,0,MEDIUM,High seasonal risk in Summer.
VILLAURBANA,11,108.76,9.89,ALTRO,MEDIUM,High seasonal risk in Summer.
ARZACHENA,11,14.14,1.29,ALTRO,MEDIUM,High seasonal risk in Summer.
OSCHIRI,11,8.48,0.77,0,MEDIUM,High seasonal risk in Summer.
COLLINAS,10,91.76,9.18,PASCOLO,MEDIUM,High seasonal risk in Summer.
NUXIS,10,14.03,1.40,ALTRO,MEDIUM,High seasonal risk in Summer.
GAIRO,10,16.52,1.65,0,MEDIUM,High seasonal risk in Summer.
ORANI,10,22.58,2.26,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
NURAGUS,10,10.38,1.04,ALTRO,MEDIUM,High seasonal risk in Summer.
SARULE,10,36.49,3.65,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
MAMOIADA,10,10.46,1.05,ALTRO,MEDIUM,High seasonal risk in Summer.
SIAMAGGIORE,10,37.64,3.76,0,MEDIUM,High seasonal risk in Summer.
MARRUBIU,10,92.96,9.30,ALTRO,MEDIUM,High seasonal risk in Summer.
BUDDUSO',10,50.19,5.02,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
VILLANOVA MONTELEONE,10,40.08,4.01,"BOSCO, PASCOLO",MEDIUM,High seasonal risk in Summer.
TEMPIO PAUSANIA,10,18.11,1.81,ALTRO,MEDIUM,High seasonal risk in Summer.
MURAVERA,10,88.18,8.82,0,MEDIUM,High seasonal risk in Summer.
VILLAPUTZU,10,31.16,3.12,0,MEDIUM,High seasonal risk in Summer.
IS PAULIS,10,21.68,2.17,30676.8,MEDIUM,High seasonal risk in Summer.
BURCEI,9,9.74,1.08,0,MEDIUM,High seasonal risk in Summer.
VILLAGRANDE STRISAILI,9,510.07,56.67,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SEUI,9,97.08,10.79,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk. Propensity for large-scale events detected.
ORUNE,9,24.86,2.76,0,MEDIUM,High seasonal risk in Summer.
GIBA,9,13.13,1.46,0,MEDIUM,High seasonal risk in Summer.
GIRASOLE,9,64.68,7.19,ALTRO,MEDIUM,High seasonal risk in Summer.
LULA,9,17.85,1.98,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
DORGALI,9,9.01,1.00,0,MEDIUM,High seasonal risk in Summer.
ARBOREA,9,159.31,17.70,ALTRO,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
OROTELLI,9,61.92,6.88,"BOSCO, ALTRO",MEDIUM,High seasonal risk in Summer.
RIOLA SARDO,9,58.49,6.50,0,MEDIUM,High seasonal risk in Summer.
GHILARZA,9,51.23,5.69,"BOSCO, PASCOLO, ALTRO",MEDIUM,High seasonal risk in Summer.
NULVI,9,57.41,6.38,ALTRO,MEDIUM,High seasonal risk in Summer.
BERCHIDDA,9,45.69,5.08,0,MEDIUM,High seasonal risk in Summer.
SAGAMA,9,29.40,3.27,PASCOLO,MEDIUM,High seasonal risk in Summer.
MONSERRATO,8,7.00,0.88,ALTRO,MEDIUM,High seasonal risk in Summer.
PAULI ARBAREI,8,46.14,5.77,ALTRO,MEDIUM,High seasonal risk in Summer.
ESCALAPLANO,8,31.22,3.90,ALTRO,MEDIUM,High seasonal risk in Summer.
SADALI,8,192.33,24.04,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
VALLERMOSA,8,5.59,0.70,0,MEDIUM,High seasonal risk in Summer.
GENONI,8,31.81,3.98,ALTRO,MEDIUM,High seasonal risk in Summer.
MASULLAS,8,95.18,11.90,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
PORTOSCUSO,8,23.04,2.88,ALTRO,MEDIUM,High seasonal risk in Summer.
IRGOLI,8,217.55,27.19,"BOSCO, ALTRO",HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SIAMANNA,8,21.91,2.74,ALTRO,MEDIUM,High seasonal risk in Summer.
SENNORI,8,53.23,6.65,ALTRO,MEDIUM,High seasonal risk in Summer.
SILIGO,8,40.08,5.01,ALTRO,MEDIUM,High seasonal risk in Summer.
MORES,8,13.42,1.68,0,MEDIUM,High seasonal risk in Summer.
NULE,8,44.31,5.54,PASCOLO,MEDIUM,High seasonal risk in Summer.
CARLOFORTE,8,23.43,2.93,0,MEDIUM,High seasonal risk in Summer.
ESCOLCA,7,72.09,10.30,ALTRO,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SARROCH,7,10.53,1.50,ALTRO,MEDIUM,High seasonal risk in Summer.
CASTIADAS,7,175.66,25.09,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SOLEMINIS,7,18.84,2.69,0,MEDIUM,High seasonal risk in Summer.
VILLASIMIUS,7,2.08,0.30,0,MEDIUM,High seasonal risk in Summer.
ORGOSOLO,7,17.14,2.45,0,MEDIUM,High seasonal risk in Summer.
PERDAXIUS,7,5.02,0.72,ALTRO,MEDIUM,High seasonal risk in Summer.
SEDILO,7,13.65,1.95,ALTRO,MEDIUM,High seasonal risk in Summer.
DUALCHI,7,455.24,65.03,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
LOCULI,7,7.26,1.04,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
URAS,7,81.18,11.60,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
TRAMATZA,7,17.83,2.55,0,MEDIUM,High seasonal risk in Summer.
ILLORAI,7,30.47,4.35,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
NUGHEDU SAN NICOLO',7,69.69,9.96,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
PALAU,7,1.01,0.14,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
SAMUGHEO,7,4.79,0.68,0,MEDIUM,High seasonal risk in Summer.
POSADA,7,506.93,72.42,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
OLIENA,7,4.53,0.65,0,MEDIUM,High seasonal risk in Summer.
ARZANA,6,42.98,7.16,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
GONI,6,3.98,0.66,PASCOLO,MEDIUM,High seasonal risk in Summer.
AGGIUS,6,13.07,2.18,"BOSCO, ALTRO",MEDIUM,High seasonal risk in Summer.
CALASETTA,6,10.24,1.71,ALTRO,MEDIUM,High seasonal risk in Summer.
JERZU,6,66.53,11.09,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
ONIFAI,6,11.68,1.95,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
SORGONO,6,58.01,9.67,ALTRO,MEDIUM,High seasonal risk in Summer.
BUDONI,6,319.32,53.22,BOSCO,HIGH,High seasonal risk in Summer. Forest density increases crown fire risk. Propensity for large-scale events detected.
SAN TEODORO,6,25.18,4.20,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
DESULO,6,6.18,1.03,"BOSCO, ALTRO",MEDIUM,High seasonal risk in Summer.
ZEDDIANI,6,7.00,1.17,ALTRO,MEDIUM,High seasonal risk in Summer.
FLUSSIO,6,38.12,6.35,"BOSCO, PASCOLO, ALTRO",MEDIUM,High seasonal risk in Summer.
PORTO TORRES,6,10.50,1.75,ALTRO,MEDIUM,High seasonal risk in Summer.
PERFUGAS,6,2.99,0.50,ALTRO,MEDIUM,High seasonal risk in Summer.
MONTI,6,2.78,0.46,BOSCO,MEDIUM,High seasonal risk in Summer. Forest density increases crown fire risk.
ARBUS,6,3.94,0.66,0,MEDIUM,High seasonal risk in Summer.
OLLOLAI,6,10.59,1.77,ALTRO,MEDIUM,High seasonal risk in Summer.
SA SERRA,6,16.85,2.81,6871.13,MEDIUM,High seasonal risk in Summer.
PARDU,6,15.59,2.60,11637.7,MEDIUM,High seasonal risk in Summer.
S.S. 197,6,10.14,1.69,6074.51,MEDIUM,High seasonal risk in Summer.
VILLASALTO,5,37.78,7.56,ALTRO,LOW,High seasonal risk in Summer.
DOMUS DE MARIA,5,8.15,1.63,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
CALANGIANUS,5,101.01,20.20,ALTRO,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
VILLAPERUCCIO,5,0.65,0.13,0,LOW,High seasonal risk in Summer.
OLLASTRA,5,13.94,2.79,0,LOW,High seasonal risk in Summer.
TRATALIAS,5,6.98,1.40,ALTRO,LOW,High seasonal risk in Summer.
BIRORI,5,7.47,1.49,0,LOW,High seasonal risk in Summer.
ORTUERI,5,3.50,0.70,ALTRO,LOW,High seasonal risk in Summer.
SENEGHE,5,6.34,1.27,0,LOW,High seasonal risk in Summer.
NURACHI,5,4.83,0.97,ALTRO,LOW,High seasonal risk in Summer.
ABBASANTA,5,10.61,2.12,"PASCOLO, ALTRO",LOW,High seasonal risk in Summer.
ESPORLATU,5,4.16,0.83,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
ANELA,5,39.83,7.97,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
TORRALBA,5,51.41,10.28,PASCOLO,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SANTA MARIA COGHINAS,5,9.85,1.97,ALTRO,LOW,High seasonal risk in Summer.
BONNANARO,5,5.42,1.08,PASCOLO,LOW,High seasonal risk in Summer.
VALLEDORIA,5,2.10,0.42,0,LOW,High seasonal risk in Summer.
URI,5,11.65,2.33,"BOSCO, PASCOLO",LOW,High seasonal risk in Summer.
LURAS,5,1.50,0.30,ALTRO,LOW,High seasonal risk in Summer.
ILBONO,5,11.83,2.37,"BOSCO, PASCOLO, ALTRO",LOW,High seasonal risk in Summer.
TALANA,5,4.38,0.88,ALTRO,LOW,High seasonal risk in Summer.
OLZAI,5,17.76,3.55,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
BUSACHI,5,11.72,2.34,0,LOW,High seasonal risk in Summer.
IS CRABILIS,5,6.07,1.21,12159.9,LOW,High seasonal risk in Summer.
CODRONGIANOS,5,85.53,17.11,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
ALES,5,9.51,1.90,0,LOW,High seasonal risk in Summer.
LUNAMATRONA,4,9.35,2.34,ALTRO,LOW,High seasonal risk in Summer.
SIDDI,4,3.81,0.95,ALTRO,LOW,High seasonal risk in Summer.
ESTERZILI,4,15.13,3.78,ALTRO,LOW,High seasonal risk in Summer.
LOTZORAI,4,4.46,1.11,0,LOW,High seasonal risk in Summer.
TURRI,4,2.03,0.51,ALTRO,LOW,High seasonal risk in Summer.
GONNESA,4,29.28,7.32,ALTRO,LOW,High seasonal risk in Summer.
SANT'ANNA ARRESI,4,1.84,0.46,ALTRO,LOW,High seasonal risk in Summer.
LANUSEI,4,5.67,1.42,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
ULASSAI,4,1.80,0.45,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
NORBELLO,4,4.18,1.04,PASCOLO,LOW,High seasonal risk in Summer.
GONNOSNO',4,21.84,5.46,"PASCOLO, ALTRO",LOW,High seasonal risk in Summer.
BULTEI,4,2.94,0.74,PASCOLO,LOW,High seasonal risk in Summer.
LA MADDALENA,4,1.55,0.39,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
MAGOMADAS,4,14.14,3.54,ALTRO,LOW,High seasonal risk in Summer.
BORTIGALI,4,23.26,5.81,"BOSCO, PASCOLO",LOW,High seasonal risk in Summer.
C. SANNA,4,4.66,1.17,10126.4,LOW,High seasonal risk in Summer.
BAU S'ULMU,4,14.66,3.67,15108.6,LOW,High seasonal risk in Summer.
S. GIORGIO,4,27.87,6.97,1559.14,LOW,High seasonal risk in Summer.
CUCCURU S'ARRIU,4,13.05,3.26,1684.21,LOW,High seasonal risk in Summer.
CORTE BACCAS,4,26.83,6.71,18675.4,LOW,High seasonal risk in Summer.
S'UTTURU BREBEI,4,18.45,4.61,4360.76,LOW,High seasonal risk in Summer.
ULA TIRSO,4,2.14,0.53,0,LOW,High seasonal risk in Summer.
USSARAMANNA,3,6.13,2.04,ALTRO,LOW,High seasonal risk in Summer.
SETZU,3,47.49,15.83,ALTRO,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
MUSEI,3,3.05,1.02,ALTRO,LOW,High seasonal risk in Summer.
